查询日期,Excel代码,匹配Wind代码,证券简称,基本信息查询状态,行情查询状态,缺失指标,缺失字段代码,冲突或校验信息,记录状态,原因,来源会话,原始请求ID
2026-09-11,809215.IB,809215.IB,25北京02,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809214.IB,809214.IB,25北京01,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809212.IB,809212.IB,24福建38,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809171.IB,809171.IB,24北京51,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809170.IB,809170.IB,24北京50,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809169.IB,809169.IB,24北京49,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809168.IB,809168.IB,24北京48,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809167.IB,809167.IB,24湖南23,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809163.IB,809163.IB,24北京45,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809162.IB,809162.IB,24北京44,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
