code,name,cohort,disposition,_diagnosticBucket,staticSyncStatus,regionId,bondType,issueDate,remainingYears,issueAmountYi,yieldPct,maturityDate,termYears,yieldDate,reason
101931.IB,23安徽11,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,6.457534246575342465753424658,13.7,,2033-02-23,6,,仅有指数收益率参考，不参与个券收益率汇总
101932.IB,23安徽12,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,6.457534246575342465753424658,3.8,,2033-02-23,6,,仅有指数收益率参考，不参与个券收益率汇总
101933.IB,23安徽13,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,11.46027397260273972602739726,73.18,,2038-02-23,11,,仅有指数收益率参考，不参与个券收益率汇总
101934.IB,23安徽14,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,11.46027397260273972602739726,2.15,,2038-02-23,11,,仅有指数收益率参考，不参与个券收益率汇总
101935.IB,23安徽15,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,16.46301369863013698630136986,38.79,,2043-02-23,16,,仅有指数收益率参考，不参与个券收益率汇总
101936.IB,23安徽16,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,16.46301369863013698630136986,2,,2043-02-23,16,,仅有指数收益率参考，不参与个券收益率汇总
101937.IB,23安徽17,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,26.47123287671232876712328767,16.51,,2053-02-23,26,,仅有指数收益率参考，不参与个券收益率汇总
101938.IB,23安徽18,before_20250808,incomplete,only_missing_target_day_yield,completed,anhui,general,2023-02-22,3.454794520547945205479452055,25.2,,2030-02-23,3,,仅有指数收益率参考，不参与个券收益率汇总
101939.IB,23吉林01,before_20250808,incomplete,outside_term_grid,completed,jilin,general,2023-02-23,1.454794520547945205479452055,12.86,,2028-02-24,1,,仅有指数收益率参考，不参与个券收益率汇总
101940.IB,23广东11,before_20250808,incomplete,outside_term_grid,completed,guangdong,general,2023-02-23,6.460273972602739726027397260,123.602,,2033-02-24,6,,仅有指数收益率参考，不参与个券收益率汇总
101941.IB,23广东12,before_20250808,incomplete,outside_term_grid,completed,guangdong,special,2023-02-23,6.460273972602739726027397260,91.3929,,2033-02-24,6,,仅有指数收益率参考，不参与个券收益率汇总
101942.IB,23四川12,before_20250808,incomplete,outside_term_grid,completed,sichuan,general,2023-02-27,6.471232876712328767123287671,146.5399,,2033-02-28,6,,仅有指数收益率参考，不参与个券收益率汇总
101943.IB,23四川13,before_20250808,incomplete,outside_term_grid,completed,sichuan,special,2023-02-27,26.48493150684931506849315068,27.8378,,2053-02-28,26,,仅有指数收益率参考，不参与个券收益率汇总
101944.IB,23四川14,before_20250808,incomplete,outside_term_grid,completed,sichuan,special,2023-02-27,1.465753424657534246575342466,2.5,,2028-02-28,1,,仅有指数收益率参考，不参与个券收益率汇总
101945.IB,23四川15,before_20250808,incomplete,only_missing_target_day_yield,completed,sichuan,special,2023-02-27,3.468493150684931506849315068,6.802,,2030-02-28,3,,仅有指数收益率参考，不参与个券收益率汇总
101946.IB,23四川16,before_20250808,incomplete,outside_term_grid,completed,sichuan,special,2023-02-27,6.471232876712328767123287671,71.8,,2033-02-28,6,,仅有指数收益率参考，不参与个券收益率汇总
101947.IB,23四川17,before_20250808,incomplete,outside_term_grid,completed,sichuan,special,2023-02-27,11.47397260273972602739726027,45.8087,,2038-02-28,11,,仅有指数收益率参考，不参与个券收益率汇总
101949.IB,23四川19,before_20250808,incomplete,outside_term_grid,completed,sichuan,special,2023-02-27,26.48493150684931506849315068,2.95,,2053-02-28,26,,仅有指数收益率参考，不参与个券收益率汇总
101950.IB,23天津17,before_20250808,incomplete,outside_term_grid,completed,tianjin,special,2023-03-09,1.495890410958904109589041096,70.93,,2028-03-10,1,,仅有指数收益率参考，不参与个券收益率汇总
101951.IB,23天津18,before_20250808,incomplete,outside_term_grid,completed,tianjin,general,2023-03-09,1.495890410958904109589041096,10.11,,2028-03-10,1,,仅有指数收益率参考，不参与个券收益率汇总
101952.IB,23湖北31,before_20250808,incomplete,only_missing_target_day_yield,completed,hubei,special,2023-03-13,6.509589041095890410958904110,12.06,,2033-03-14,7,,仅有指数收益率参考，不参与个券收益率汇总
101953.IB,23湖北32,before_20250808,incomplete,outside_term_grid,completed,hubei,special,2023-03-13,11.51232876712328767123287671,13.29,,2038-03-14,12,,仅有指数收益率参考，不参与个券收益率汇总
101954.IB,23湖北33,before_20250808,incomplete,outside_term_grid,completed,hubei,special,2023-03-13,16.51506849315068493150684932,14.55,,2043-03-14,17,,仅有指数收益率参考，不参与个券收益率汇总
101955.IB,23湖北34,before_20250808,incomplete,outside_term_grid,completed,hubei,special,2023-03-13,26.52328767123287671232876712,13.22,,2053-03-14,27,,仅有指数收益率参考，不参与个券收益率汇总
101956.IB,23湖北35,before_20250808,incomplete,outside_term_grid,completed,hubei,special,2023-03-13,1.506849315068493150684931507,9.5,,2028-03-14,2,,仅有指数收益率参考，不参与个券收益率汇总
101957.IB,23湖北36,before_20250808,incomplete,outside_term_grid,completed,hubei,special,2023-03-13,3.506849315068493150684931507,2.68,,2030-03-14,4,,仅有指数收益率参考，不参与个券收益率汇总
101958.IB,23湖北37,before_20250808,incomplete,only_missing_target_day_yield,completed,hubei,special,2023-03-13,6.509589041095890410958904110,8,,2033-03-14,7,,仅有指数收益率参考，不参与个券收益率汇总
101959.IB,23黑龙江11,before_20250808,incomplete,only_missing_target_day_yield,completed,heilongjiang,general,2023-03-16,6.517808219178082191780821918,173.132,,2033-03-17,7,,仅有指数收益率参考，不参与个券收益率汇总
101960.IB,23黑龙江12,before_20250808,incomplete,outside_term_grid,completed,heilongjiang,special,2023-03-16,3.515068493150684931506849315,90.534,,2030-03-17,4,,仅有指数收益率参考，不参与个券收益率汇总
101961.IB,23黑龙江13,before_20250808,incomplete,only_missing_target_day_yield,completed,heilongjiang,special,2023-03-16,6.517808219178082191780821918,100,,2033-03-17,7,,仅有指数收益率参考，不参与个券收益率汇总
101962.IB,23云南03,before_20250808,incomplete,outside_term_grid,completed,yunnan,general,2023-03-17,3.523287671232876712328767123,149.9675,,2030-03-20,4,,仅有指数收益率参考，不参与个券收益率汇总
101963.IB,23云南04,before_20250808,incomplete,outside_term_grid,completed,yunnan,special,2023-03-17,3.523287671232876712328767123,150.6613,,2030-03-20,4,,仅有指数收益率参考，不参与个券收益率汇总
101964.IB,23内蒙03,before_20250808,incomplete,only_missing_target_day_yield,completed,inner_mongolia,special,2023-03-30,6.556164383561643835616438356,200,,2033-03-31,7,,仅有指数收益率参考，不参与个券收益率汇总
101965.IB,23青岛12,before_20250808,incomplete,outside_term_grid,completed,qingdao,general,2023-03-23,3.534246575342465753424657534,17.18,,2030-03-24,4,,仅有指数收益率参考，不参与个券收益率汇总
101966.IB,23青岛13,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,3.534246575342465753424657534,4.15,,2030-03-24,4,,仅有指数收益率参考，不参与个券收益率汇总
101967.IB,23青岛14,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,3.534246575342465753424657534,2.5,,2030-03-24,4,,仅有指数收益率参考，不参与个券收益率汇总
101968.IB,23青岛15,before_20250808,incomplete,only_missing_target_day_yield,completed,qingdao,special,2023-03-23,6.536986301369863013698630137,23,,2033-03-24,7,,仅有指数收益率参考，不参与个券收益率汇总
101969.IB,23青岛16,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,11.53972602739726027397260274,37.2,,2038-03-24,12,,仅有指数收益率参考，不参与个券收益率汇总
101970.IB,23青岛17,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,16.54246575342465753424657534,28.2,,2043-03-24,17,,仅有指数收益率参考，不参与个券收益率汇总
101971.IB,23青岛18,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,26.55068493150684931506849315,8.5,,2053-03-24,27,,仅有指数收益率参考，不参与个券收益率汇总
101972.IB,23青岛19,before_20250808,incomplete,only_missing_target_day_yield,completed,qingdao,special,2023-03-23,6.536986301369863013698630137,0.5,,2033-03-24,7,,仅有指数收益率参考，不参与个券收益率汇总
101973.IB,23青岛20,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,11.53972602739726027397260274,5.1,,2038-03-24,12,,仅有指数收益率参考，不参与个券收益率汇总
101974.IB,23青岛21,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,16.54246575342465753424657534,15.3,,2043-03-24,17,,仅有指数收益率参考，不参与个券收益率汇总
101975.IB,23青岛22,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,26.55068493150684931506849315,3.4,,2053-03-24,27,,仅有指数收益率参考，不参与个券收益率汇总
101976.IB,23青岛23,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,1.534246575342465753424657534,3.1,,2028-03-24,2,,仅有指数收益率参考，不参与个券收益率汇总
101977.IB,23青岛24,before_20250808,incomplete,only_missing_target_day_yield,completed,qingdao,special,2023-03-23,6.536986301369863013698630137,23,,2033-03-24,7,,仅有指数收益率参考，不参与个券收益率汇总
101978.IB,23青岛25,before_20250808,incomplete,outside_term_grid,completed,qingdao,special,2023-03-23,16.54246575342465753424657534,0.1,,2043-03-24,17,,仅有指数收益率参考，不参与个券收益率汇总
101979.IB,23山东17,before_20250808,incomplete,outside_term_grid,completed,shandong,special,2023-03-24,3.542465753424657534246575342,3.87,,2030-03-27,4,,仅有指数收益率参考，不参与个券收益率汇总
