债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
20四川债92,131.36,2.15,1.0,2.15,7.0
26建设银行CD157,99.27,1.4399,1.0,1.4399,7.0
26交通银行CD133,98.91,1.46,-0.5,1.4628,7.0
26建设银行CD101,99.29,1.4398,1.0,1.4398,7.0
19国开15,105.81,1.4675,1.0,1.4675,6.9
22附息国债17,107.19,1.42,1.0,1.4215,6.825
25农发05,99.72,1.4875,0.25,1.4855,6.8
26泉州银行小微债01,100.0,1.63,,1.6341,6.8
26河南债62,99.73,1.611,-0.4,1.611,6.6
25农发23,100.33,1.4329,-0.21,1.4349,6.6
26农发05,99.94,1.5525,0.24,1.5502,6.5
24南京银行01,100.37,1.7,28.0,1.6823,6.5
25湖北债14,100.11,1.8605,1.0,1.8605,6.5
26中行永续债02BC,100.25,,,,6.4
24工行永续债01,101.89,1.6625,-1.25,1.6625,6.4
26农发清发05,100.15,1.5675,1.0,1.5689,6.2
26江铜股份MTN004B(并购),100.0,2.32,,2.32,6.2
26浙江债44,102.37,2.28,1.0,2.2789,6.1
25汇金MTN007,100.23,1.535,0.5,1.5334,6.1
26鄂交投MTN001,100.0,1.71,,1.71,6.1
19国开05,104.59,1.45,-1.0,1.4514,6.04
21国开15,107.59,1.5325,1.0,1.5322,6.0
26农业银行CD116,98.91,1.4699,0.49,1.4691,6.0
26中信百信银行CD018,98.49,1.5349,,1.5349,6.0
26北京银行CD057,99.28,1.4447,-0.07,1.4456,6.0
24进出15,101.16,1.48,1.0,1.4799,6.0
25光大银行CD204,98.36,1.3699,0.53,1.3801,6.0
26东莞银行CD034,99.24,1.3883,,1.3883,6.0
25光大银行CD237,98.42,1.44,0.22,1.44,6.0
26光大银行CD054,98.55,1.4775,1.0,1.4775,6.0
26工商银行CD087,98.55,1.4726,-0.24,1.4738,6.0
25光大银行CD252,98.42,1.4374,-0.24,1.4383,6.0
26工商银行CD047,98.54,1.4724,-0.26,1.4724,6.0
26建设银行CD098,99.29,1.4377,0.29,1.4377,6.0
26湖南银行CD044,99.28,1.4498,-0.52,1.4498,6.0
26苏州银行CD022,99.24,1.3904,,1.3904,6.0
26中国银行CD057,98.91,1.478,0.06,1.478,6.0
26上海债08,100.59,1.485,1.0,1.4842,6.0
26渤海银行CD269,99.64,1.4397,-1.0,1.4397,6.0
26建设银行CD142,98.93,1.4626,-0.04,1.4626,6.0
26工商银行CD009,98.45,1.45,-0.49,1.45,6.0
26广发银行CD060,98.52,1.4915,1.71,1.478,6.0
23四川18,116.66,2.0425,1.25,2.0425,5.8
26中行二级资本债01BC,100.67,1.8925,-0.07,1.8923,5.8
23中行二级资本债02B,109.62,2.4377,0.08,2.4398,5.8
24进出11,103.38,1.71,0.25,1.7062,5.7
26云南债26,100.16,1.7721,,1.7721,5.6
26渤海银行债01,99.99,1.605,0.25,1.6027,5.5
26甘肃60,99.73,2.2825,0.7,2.2804,5.5
26长沙银行CD152,99.64,1.4451,,1.4451,5.5
16国开05,117.55,1.7525,1.0,1.7525,5.5
23农发02,108.85,1.6425,0.1,1.6382,5.45
26广东债41,100.05,2.2775,0.51,2.2762,5.4
26广东债43,100.05,2.2775,1.0,2.2757,5.4
25建行二级资本债02A(BC),100.8,1.8416,0.11,1.8415,5.4
26中兴通讯SCP027,99.99,1.4703,1.0,1.4703,5.4
24国开02,100.33,1.2699,-0.03,1.27,5.4
24兴业银行二级资本债02,101.88,2.0572,-0.4,2.0572,5.4
24附息国债01,102.63,1.22,1.0,1.2201,5.4
25广东债05,101.89,1.8296,0.36,1.8264,5.3
26交行二级资本债01BC,100.65,1.8944,0.13,1.893,5.3
26成都农商行二级资本债01,100.01,1.8984,1.0,1.899,5.3
26农业银行CD069,99.28,1.4426,1.51,1.4405,5.3
18附息国债24,134.98,2.095,-0.5,2.0955,5.2
26吉林债07,105.3,2.2825,0.45,2.2803,5.2
26农行永续债01BC,100.1,,,,5.1
26河北债30,101.66,2.245,1.0,2.245,5.1
24新疆债64,103.26,1.645,3.73,1.645,5.0
24附息国债20,101.37,1.283,0.25,1.282,5.0
26重庆发展MTN003,99.54,1.79,1.0,1.7898,5.0
26江苏银行CD144,98.53,1.495,0.5,1.4925,5.0
26广发银行CD050,98.89,1.4399,0.25,1.4399,5.0
25新疆债61,101.39,2.25,,2.25,5.0
26伊利实业SCP012,99.99,1.4606,1.1,1.4606,5.0
26甘肃57,99.71,2.2835,0.8,2.2809,5.0
26建设银行CD254,98.54,1.485,-0.1,1.485,5.0
26广州银行CD150,98.9,1.4849,,1.4849,5.0
26中信银行CD160,99.64,1.388,0.31,1.388,5.0
26中原银行CD169,98.51,1.51,1.0,1.5041,5.0
26光大银行CD038,98.52,1.4625,-93.67,1.6495,5.0
26建设银行CD143,98.92,1.464,0.39,1.4624,5.0
26华夏银行CD248,98.53,1.487,0.2,1.487,5.0
26成都银行CD093,98.54,1.4875,0.11,1.4875,5.0
25珠海华润银行CD072,98.77,1.396,1.66,1.396,5.0
24进出05,102.09,1.455,1.0,1.455,5.0
24附息国债25,100.48,1.395,0.5,1.3931,5.0
20江苏债16,117.3,1.6125,0.25,1.6125,5.0
26苏交通CP006,99.88,1.515,,1.4339,5.0
26宁波银行CD102,99.28,1.4404,-0.65,1.4443,5.0
26交通银行CD104,98.55,1.4775,-0.14,1.4781,5.0
26北京银行CD024,98.5,1.4651,-0.48,1.4669,5.0
26杭州银行CD067,99.28,1.4399,,1.4399,5.0
26中原银行CD170,98.9,1.49,,1.49,5.0
26农发清发02,99.8,1.46,0.25,1.4595,4.9
23安徽债91,113.12,2.0681,0.31,2.0654,4.9
19国开10,105.75,1.4525,-0.25,1.4539,4.9
26惠臻ABN010优先A,100.0,,,,4.73
26浙江债43,101.19,2.235,0.75,2.235,4.6
26四川债58,100.11,2.275,-0.16,2.2774,4.6
25农业银行三农债01,100.34,1.488,0.3,1.4881,4.6
17农发05,100.79,1.2749,-0.01,1.275,4.5
26江苏24,99.98,1.6025,0.37,1.6008,4.5
25中信银行CD342,98.37,1.4504,1.05,1.4364,4.5
25南电CP007,100.0,1.4176,1.0,1.4156,4.5
26长沙水业MTN003,100.0,,,,4.4
23附息国债14,104.85,1.295,1.0,1.2966,4.3
23中行永续债01,102.97,,,,4.3
23甘肃债06,116.34,2.059,0.9,2.0529,4.2
25国开清发07,100.63,1.465,0.85,1.465,4.2
24安徽债76,102.03,1.4645,0.54,1.4595,4.2
24国开清发02,100.39,1.3149,1.0,1.3176,4.2
19农发01,105.31,1.4525,0.17,1.4525,4.2
26河南债63,99.73,1.611,0.1,1.611,4.1
26甘肃63,99.73,2.2825,0.88,2.2825,4.1
