债券代码,债券简称,发行起始日,发行终止日,计划发行总量,实际发行总量,发行价格,单位面值,缴款日,增发次数,交易市场,发行方式,发行对象,公告日期,债券名称
199611,26安徽债31,2026-04-28,2026-04-28,6.2,6.2,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十六期)
236695,26安徽31,2026-04-28,2026-04-28,6.2,6.2,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十六期)
199610,安徽2630,2026-04-28,2026-04-28,33.42,33.42,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十五期)
199610,26安徽债30,2026-04-28,2026-04-28,33.42,33.42,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十五期)
236694,26安徽30,2026-04-28,2026-04-28,33.42,33.42,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十五期)
199609,安徽2629,2026-04-28,2026-04-28,7.04,7.04,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十四期)
199609,26安徽债29,2026-04-28,2026-04-28,7.04,7.04,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十四期)
236693,26安徽29,2026-04-28,2026-04-28,7.04,7.04,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十四期)
199608,安徽2628,2026-04-28,2026-04-28,3.02,3.02,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十三期)
199608,26安徽债28,2026-04-28,2026-04-28,3.02,3.02,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十三期)
236692,26安徽28,2026-04-28,2026-04-28,3.02,3.02,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十三期)
199606,安徽2626,2026-04-28,2026-04-28,4.48,4.48,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十一期)
199606,26安徽债26,2026-04-28,2026-04-28,4.48,4.48,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十一期)
236690,26安徽26,2026-04-28,2026-04-28,4.48,4.48,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十一期)
199605,安徽2625,2026-04-28,2026-04-28,4.16,4.16,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十期)
199605,26安徽债25,2026-04-28,2026-04-28,4.16,4.16,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十期)
236689,26安徽25,2026-04-28,2026-04-28,4.16,4.16,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十期)
199604,安徽2624,2026-04-28,2026-04-28,4.65,4.65,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(十九期)
199604,26安徽债24,2026-04-28,2026-04-28,4.65,4.65,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(十九期)
236688,26安徽24,2026-04-28,2026-04-28,4.65,4.65,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(十九期)
199607,安徽2627,2026-04-28,2026-04-28,4.13,4.13,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十二期)
199607,26安徽债27,2026-04-28,2026-04-28,4.13,4.13,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十二期)
236691,26安徽27,2026-04-28,2026-04-28,4.13,4.13,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十二期)
235946,26天津18,2026-04-28,2026-04-28,15.8793,15.8793,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市政府一般债券(一期)
235946,26天津18,2026-04-28,2026-04-28,15.8793,15.8793,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市政府一般债券(一期)
566381,天津2618,2026-04-28,2026-04-28,15.8793,15.8793,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市政府一般债券(一期)
235948,26天津20,2026-04-28,2026-04-28,1.1,1.1,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十一期)
235948,26天津20,2026-04-28,2026-04-28,1.1,1.1,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十一期)
566383,天津2620,2026-04-28,2026-04-28,1.1,1.1,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十一期)
235949,26天津21,2026-04-28,2026-04-28,3.0,3.0,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十二期)
235949,26天津21,2026-04-28,2026-04-28,3.0,3.0,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十二期)
566384,天津2621,2026-04-28,2026-04-28,3.0,3.0,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十二期)
235947,26天津19,2026-04-28,2026-04-28,3.96,3.96,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十期)
235947,26天津19,2026-04-28,2026-04-28,3.96,3.96,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十期)
566382,天津2619,2026-04-28,2026-04-28,3.96,3.96,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市政府专项债券(十期)
